cohort,cohort_years,education,y1_emp,y5_emp,y10_emp,y1_nonemp,y5_nonemp,y10_nonemp,y1_p25_earnings,y5_p25_earnings,y10_p25_earnings,y1_p50_earnings,y5_p50_earnings,y10_p50_earnings,y1_p75_earnings,y5_p75_earnings,y10_p75_earnings,status_y1_emp,status_y5_emp,status_y10_emp,status_y1_nonemp,status_y5_nonemp,status_y10_nonemp,status_y1_earn,status_y5_earn,status_y10_earn
0,16,F0,312300,262900,155000,342900,168900,84120,23330,31130,36480,34630,45420,52620,51030,65130,75520,1,1,1,1,1,1,1,1,1
0,16,F1,31280,23700,12350,45560,21530,9444,21410,26960,32280,31330,40500,48120,45470,58090,69580,1,1,1,1,1,1,1,1,1
0,16,F2,243600,207700,125000,262800,130400,65600,22970,30690,36020,33930,44560,51730,49670,63450,73780,1,1,1,1,1,1,1,1,1
0,16,F3,37490,31450,17740,34590,16870,9106,29290,39490,44180,43570,56430,64200,63660,79860,89870,1,1,1,1,1,1,1,1,1
2000,2,F0,51230,57090,54930,33180,27080,28730,23930,30710,37320,34320,44390,53580,47700,62210,76290,1,1,1,1,1,1,1,1,1
2002,2,F0,36400,45460,44720,33570,24320,24750,21810,29240,34820,31780,42870,50510,45310,60280,72830,1,1,1,1,1,1,1,1,1
2004,2,F0,50460,50890,55350,36210,35380,30620,22770,33280,36970,34490,48040,53520,51100,68930,76710,1,1,1,1,1,1,1,1,1
2006,2,F0,44730,44830,,32370,31990,,24230,33050,,36260,48120,,53400,69770,,1,1,-1,1,1,-1,1,1,-1
2008,2,F0,29470,41600,,44150,31810,,26900,30570,,41380,44960,,63320,66120,,1,1,-1,1,1,-1,1,1,-1
2010,2,F0,30500,23060,,57710,18280,,24070,29510,,37060,43270,,60530,62630,,1,1,-1,1,1,-1,1,1,-1
2012,2,F0,44940,,,72890,,,22070,,,32250,,,47610,,,1,-1,-1,1,-1,-1,1,-1,-1
2014,2,F0,24550,,,32780,,,22590,,,32950,,,46870,,,1,-1,-1,1,-1,-1,1,-1,-1
2000,2,F1,3724,3953,3659,2460,2165,2460,24240,29120,35540,35280,43360,51670,48630,60470,74030,1,1,1,1,1,1,1,1,1
2000,2,F2,40490,45430,43940,26680,21570,22680,23220,29810,36490,33060,43000,52170,45750,60040,73930,1,1,1,1,1,1,1,1,1
2000,2,F3,7067,7768,7466,4072,3365,3605,29770,38300,45030,42620,54500,64850,58700,75820,90950,1,1,1,1,1,1,1,1,1
2002,2,F1,3382,3967,3672,3368,2726,2922,20180,25780,30610,29730,39050,45770,42260,56150,66440,1,1,1,1,1,1,1,1,1
2002,2,F2,28990,36780,36520,27410,19400,19460,21320,28690,34440,30810,41890,49690,43480,58300,71110,1,1,1,1,1,1,1,1,1
2002,2,F3,4122,4704,4561,2839,2193,2359,29860,40350,43810,42920,55590,63070,61180,77590,88710,1,1,1,1,1,1,1,1,1
2004,2,F1,5129,4445,5038,4091,4637,4042,20710,29140,31250,31000,42970,47640,44700,61570,68920,1,1,1,1,1,1,1,1,1
2004,2,F2,39780,40610,44570,28730,27630,23450,22360,32740,36890,33750,47160,52990,49590,67210,75610,1,1,1,1,1,1,1,1,1
2004,2,F3,5568,5762,5744,3385,3131,3134,30770,42140,44580,45980,60290,65080,66560,85040,90020,1,1,1,1,1,1,1,1,1
2006,2,F1,4142,3786,,3348,3701,,21990,28470,,32640,43280,,47860,63540,,1,1,-1,1,1,-1,1,1,-1
2006,2,F2,35290,35500,,25590,25070,,23840,32520,,35540,47230,,52130,68370,,1,1,-1,1,1,-1,1,1,-1
2006,2,F3,5318,5500,,3420,3211,,31130,41220,,45590,58860,,66530,82870,,1,1,-1,1,1,-1,1,1,-1
2008,2,F1,2727,4398,,6496,4756,,22090,25080,,32830,37190,,49660,54300,,1,1,-1,1,1,-1,1,1,-1
2008,2,F2,22800,32210,,33340,23860,,26850,30680,,41010,44890,,62450,65550,,1,1,-1,1,1,-1,1,1,-1
2008,2,F3,3958,5069,,4353,3179,,33430,37260,,51640,54930,,76190,79430,,1,1,-1,1,1,-1,1,1,-1
2010,2,F1,4106,3288,,10910,3511,,20740,25050,,29790,36940,,46440,53910,,1,1,-1,1,1,-1,1,1,-1
2010,2,F2,22860,17220,,41390,12960,,24330,29760,,37370,43290,,60820,62520,,1,1,-1,1,1,-1,1,1,-1
2010,2,F3,3513,2523,,5418,1806,,30350,37220,,46550,53270,,74400,74630,,1,1,-1,1,1,-1,1,1,-1
2012,2,F1,5665,,,11340,,,20960,,,29930,,,43570,,,1,-1,-1,1,-1,-1,1,-1,-1
2012,2,F2,34230,,,54390,,,21920,,,31970,,,47100,,,1,-1,-1,1,-1,-1,1,-1,-1
2012,2,F3,4970,,,7185,,,25080,,,37290,,,56210,,,1,-1,-1,1,-1,-1,1,-1,-1
2014,2,F1,2521,,,3541,,,22960,,,32600,,,45860,,,1,-1,-1,1,-1,-1,1,-1,-1
2014,2,F2,19000,,,25310,,,22070,,,32040,,,45360,,,1,-1,-1,1,-1,-1,1,-1,-1
2014,2,F3,3052,,,3924,,,26660,,,40110,,,57890,,,1,-1,-1,1,-1,-1,1,-1,-1
0,16,F0,312300,262900,155000,342900,168900,84120,23330,31130,36480,34630,45420,52620,51030,65130,75520,1,1,1,1,1,1,1,1,1
0,16,F1,31280,23700,12350,45560,21530,9444,21410,26960,32280,31330,40500,48120,45470,58090,69580,1,1,1,1,1,1,1,1,1
0,16,F2,243600,207700,125000,262800,130400,65600,22970,30690,36020,33930,44560,51730,49670,63450,73780,1,1,1,1,1,1,1,1,1
0,16,F3,37490,31450,17740,34590,16870,9106,29290,39490,44180,43570,56430,64200,63660,79860,89870,1,1,1,1,1,1,1,1,1
2000,2,F0,51230,57090,54930,33180,27080,28730,23930,30710,37320,34320,44390,53580,47700,62210,76290,1,1,1,1,1,1,1,1,1
2002,2,F0,36400,45460,44720,33570,24320,24750,21810,29240,34820,31780,42870,50510,45310,60280,72830,1,1,1,1,1,1,1,1,1
2004,2,F0,50460,50890,55350,36210,35380,30620,22770,33280,36970,34490,48040,53520,51100,68930,76710,1,1,1,1,1,1,1,1,1
2006,2,F0,44730,44830,,32370,31990,,24230,33050,,36260,48120,,53400,69770,,1,1,-1,1,1,-1,1,1,-1
2008,2,F0,29470,41600,,44150,31810,,26900,30570,,41380,44960,,63320,66120,,1,1,-1,1,1,-1,1,1,-1
2010,2,F0,30500,23060,,57710,18280,,24070,29510,,37060,43270,,60530,62630,,1,1,-1,1,1,-1,1,1,-1
2012,2,F0,44940,,,72890,,,22070,,,32250,,,47610,,,1,-1,-1,1,-1,-1,1,-1,-1
2014,2,F0,24550,,,32780,,,22590,,,32950,,,46870,,,1,-1,-1,1,-1,-1,1,-1,-1
