cohort,cohort_years,sex,y1_emp,y5_emp,y10_emp,y1_nonemp,y5_nonemp,y10_nonemp,y1_p25_earnings,y5_p25_earnings,y10_p25_earnings,y1_p50_earnings,y5_p50_earnings,y10_p50_earnings,y1_p75_earnings,y5_p75_earnings,y10_p75_earnings,status_y1_emp,status_y5_emp,status_y10_emp,status_y1_nonemp,status_y5_nonemp,status_y10_nonemp,status_y1_earn,status_y5_earn,status_y10_earn
2000,2,2,5994,7272,7269,6185,4900,4800,21840,27300,34380,31040,39400,48360,42820,54780,68070,1,1,1,1,1,1,1,1,1
2000,2,1,45340,49880,47690,27030,22180,23930,24280,31310,37860,34850,45260,54500,48290,63140,77390,1,1,1,1,1,1,1,1,1
2002,2,2,4305,6191,6262,6649,4674,4578,20320,25960,32580,29240,38590,45890,42270,53440,65270,1,1,1,1,1,1,1,1,1
2002,2,1,32250,39240,38440,26940,19650,20160,22030,29860,35290,32120,43680,51330,45840,61310,74090,1,1,1,1,1,1,1,1,1
2004,2,2,6627,7613,8497,7694,6653,5789,20780,30770,32850,31680,43340,46800,45910,61100,66870,1,1,1,1,1,1,1,1,1
2004,2,1,43800,43250,46860,28520,28720,24830,23110,33770,37810,35000,49000,54840,51790,70180,78370,1,1,1,1,1,1,1,1,1
2006,2,2,5354,5822,,6118,5601,,22570,31000,,33370,44200,,48770,64510,,1,1,-1,1,1,-1,1,1,-1
2006,2,1,39340,38980,,26260,26370,,24450,33340,,36670,48880,,53960,70760,,1,1,-1,1,1,-1,1,1,-1
2008,2,2,3214,4669,,6633,5214,,27610,28030,,40670,41170,,60400,60150,,1,1,-1,1,1,-1,1,1,-1
2008,2,1,26200,36960,,37540,26600,,26750,30890,,41440,45540,,63670,66840,,1,1,-1,1,1,-1,1,1,-1
2010,2,2,2745,2551,,8650,2804,,23740,26080,,37980,39230,,60370,56840,,1,1,-1,1,1,-1,1,1,-1
2010,2,1,27690,20530,,49050,15470,,24120,29980,,36930,43870,,60500,63360,,1,1,-1,1,1,-1,1,1,-1
2012,2,2,3472,,,11520,,,20240,,,29430,,,44340,,,1,-1,-1,1,-1,-1,1,-1,-1
2012,2,1,41500,,,61370,,,22240,,,32450,,,47890,,,1,-1,-1,1,-1,-1,1,-1,-1
2014,2,2,1858,,,5163,,,20360,,,29940,,,42520,,,1,-1,-1,1,-1,-1,1,-1,-1
2014,2,1,22750,,,27630,,,22790,,,33190,,,47140,,,1,-1,-1,1,-1,-1,1,-1,-1
