cohort,cohort_years,agegrp,y1_emp,y5_emp,y10_emp,y1_nonemp,y5_nonemp,y10_nonemp,y1_p25_earnings,y5_p25_earnings,y10_p25_earnings,y1_p50_earnings,y5_p50_earnings,y10_p50_earnings,y1_p75_earnings,y5_p75_earnings,y10_p75_earnings,status_y1_emp,status_y5_emp,status_y10_emp,status_y1_nonemp,status_y5_nonemp,status_y10_nonemp,status_y1_earn,status_y5_earn,status_y10_earn
2000,2,E01,16050,19300,19150,14420,11040,11010,19970,25900,33820,27820,37930,48550,37950,52900,68250,1,1,1,1,1,1,1,1,1
2000,2,E02,35270,37750,35720,18800,16050,17700,26820,33990,39420,37820,48030,56520,52020,66820,80620,1,1,1,1,1,1,1,1,1
2002,2,E01,14870,20070,20560,17720,12280,11740,18840,25660,32580,26280,37750,47090,36510,52200,67390,1,1,1,1,1,1,1,1,1
2002,2,E02,21650,25320,24310,15870,12010,13010,25300,33220,37240,36500,47350,53600,51530,66470,77430,1,1,1,1,1,1,1,1,1
2004,2,E01,17150,17850,21330,16540,15660,12170,18780,28370,34050,27400,41190,49650,39230,58470,71230,1,1,1,1,1,1,1,1,1
2004,2,E02,33340,33080,34050,19670,19720,18460,26200,36810,38860,38820,52110,55890,56480,74580,79880,1,1,1,1,1,1,1,1,1
2006,2,E01,12760,13360,,12860,12120,,19820,27470,,28330,40890,,40650,58560,,1,1,-1,1,1,-1,1,1,-1
2006,2,E02,32040,31550,,19480,19870,,27080,36030,,40100,51830,,58280,74370,,1,1,-1,1,1,-1,1,1,-1
2008,2,E01,6536,12040,,16420,10890,,21240,25920,,30620,38480,,45950,55840,,1,1,-1,1,1,-1,1,1,-1
2008,2,E02,22980,29570,,27750,20900,,29540,32760,,44950,47680,,67380,69500,,1,1,-1,1,1,-1,1,1,-1
2010,2,E01,6859,6894,,19170,5908,,19880,26510,,27970,38110,,41900,54530,,1,1,-1,1,1,-1,1,1,-1
2010,2,E02,23560,16180,,38530,12360,,26170,31250,,40450,45660,,65300,65820,,1,1,-1,1,1,-1,1,1,-1
2012,2,E01,9977,,,19970,,,19240,,,26540,,,37250,,,1,-1,-1,1,-1,-1,1,-1,-1
2012,2,E02,34950,,,52920,,,23230,,,34330,,,50900,,,1,-1,-1,1,-1,-1,1,-1,-1
2014,2,E01,5646,,,8567,,,19250,,,26980,,,37590,,,1,-1,-1,1,-1,-1,1,-1,-1
2014,2,E02,18840,,,24200,,,23960,,,34880,,,49750,,,1,-1,-1,1,-1,-1,1,-1,-1
